Name,Set,Rarity,Price
Oathsworn Knight,ELD,Rare,0.38
Forest (266),ELD,Common,0.37
Escape to the Wilds,ELD,Rare,0.37
Island (254),ELD,Common,0.36
Opportunistic Dragon,ELD,Rare,0.34
Lochmere Serpent,ELD,Rare,0.34
Happily Ever After,ELD,Rare,0.33
Sundering Stroke,ELD,Rare,0.3
"Syr Konrad, the Grim",ELD,Uncommon,0.3
Foulmire Knight,ELD,Uncommon,0.25
Order of Midnight,ELD,Uncommon,0.25
Embereth Shieldbreaker,ELD,Uncommon,0.25
Beanstalk Giant,ELD,Uncommon,0.25
Claim the Firstborn,ELD,Uncommon,0.25
Edgewall Innkeeper,ELD,Uncommon,0.25
Revenge of Ravens,ELD,Uncommon,0.25
Oakhame Adversary,ELD,Uncommon,0.25
Sorcerer's Broom,ELD,Uncommon,0.25
Skullknocker Ogre,ELD,Uncommon,0.25
"Grumgully, the Generous",ELD,Uncommon,0.25
"Syr Elenora, the Discerning",ELD,Uncommon,0.25
Heraldic Banner,ELD,Uncommon,0.25
Slaying Fire,ELD,Uncommon,0.25
Mountain (262),ELD,Common,0.25
Shepherd of the Flock,ELD,Uncommon,0.25
Arcanist's Owl,ELD,Uncommon,0.25
Inspiring Veteran,ELD,Uncommon,0.25
Lucky Clover,ELD,Uncommon,0.25
Trail of Crumbs,ELD,Uncommon,0.25
Enchanted Carriage,ELD,Uncommon,0.25
Overwhelmed Apprentice,ELD,Uncommon,0.25
Witch's Cottage,ELD,Common,0.25
Tournament Grounds,ELD,Uncommon,0.25
Epic Downfall,ELD,Uncommon,0.25
Improbable Alliance,ELD,Uncommon,0.25
Into the Story,ELD,Uncommon,0.25
Oakhame Ranger,ELD,Uncommon,0.25
Hypnotic Sprite,ELD,Uncommon,0.25
Kenrith's Transformation,ELD,Uncommon,0.25
Deathless Knight,ELD,Uncommon,0.25
Sage of the Falls,ELD,Uncommon,0.25
"Syr Faren, the Hengehammer",ELD,Uncommon,0.25
Clockwork Servant,ELD,Uncommon,0.25
"Syr Carah, the Bold",ELD,Uncommon,0.24
Spinning Wheel,ELD,Uncommon,0.24
Redcap Melee,ELD,Uncommon,0.24
Specter's Shriek,ELD,Uncommon,0.24
Wandermare,ELD,Uncommon,0.24
Cauldron's Gift,ELD,Uncommon,0.24
Glass Casket,ELD,Uncommon,0.24
Joust,ELD,Uncommon,0.24
Fireborn Knight,ELD,Uncommon,0.24
Belle of the Brawl,ELD,Uncommon,0.24
Covetous Urge,ELD,Uncommon,0.24
Inquisitive Puppet,ELD,Uncommon,0.24
Mysterious Pathlighter,ELD,Uncommon,0.24
Loch Dragon,ELD,Uncommon,0.24
Archon of Absolution,ELD,Uncommon,0.24
Bog Naughty,ELD,Uncommon,0.24
Elite Headhunter,ELD,Uncommon,0.24
"Syr Alin, the Lion's Claw",ELD,Uncommon,0.24
Rampart Smasher,ELD,Uncommon,0.24
Animating Faerie,ELD,Uncommon,0.23
Shambling Suit,ELD,Uncommon,0.23
Ferocity of the Wilds,ELD,Uncommon,0.23
Burning-Yard Trainer,ELD,Uncommon,0.23
Giant Opportunity,ELD,Uncommon,0.23
Keeper of Fables,ELD,Uncommon,0.23
Shinechaser,ELD,Uncommon,0.23
Once and Future,ELD,Uncommon,0.23
Wintermoor Commander,ELD,Uncommon,0.23
Mad Ratter,ELD,Uncommon,0.23
Turn into a Pumpkin,ELD,Uncommon,0.23
Flaxen Intruder,ELD,Uncommon,0.22
Venerable Knight,ELD,Uncommon,0.22
Steelclaw Lance,ELD,Uncommon,0.22
Rally for the Throne,ELD,Uncommon,0.22
Faerie Vandal,ELD,Uncommon,0.22
Gingerbrute,ELD,Common,0.22
Resolute Rider,ELD,Uncommon,0.21
Righteousness,ELD,Uncommon,0.21
Thunderous Snapper,ELD,Uncommon,0.21
Plains (250),ELD,Common,0.21
Frogify,ELD,Uncommon,0.21
Savvy Hunter,ELD,Uncommon,0.21
Maraleaf Pixie,ELD,Uncommon,0.21
Seven Dwarves,ELD,Common,0.2
Opt,ELD,Common,0.2
Merfolk Secretkeeper,ELD,Common,0.2
Thrill of Possibility,ELD,Common,0.2
Merchant of the Vale,ELD,Common,0.2
Idyllic Grange,ELD,Common,0.2
Witching Well,ELD,Common,0.19
Didn't Say Please,ELD,Common,0.18
Crashing Drawbridge,ELD,Common,0.18
Embereth Paladin,ELD,Common,0.18
Henge Walker,ELD,Common,0.18
Gingerbread Cabin,ELD,Common,0.18
Return to Nature,ELD,Common,0.18
Wishful Merfolk,ELD,Common,0.18
Youthful Knight,ELD,Common,0.18
Dwarven Mine,ELD,Common,0.18
So Tiny,ELD,Common,0.17
Unexplained Vision,ELD,Common,0.17
Scorching Dragonfire,ELD,Common,0.17
Faerie Guidemother,ELD,Common,0.17
Weaselback Redcap,ELD,Common,0.17
Corridor Monitor,ELD,Common,0.17
Knight of the Keep,ELD,Common,0.17
Shining Armor,ELD,Common,0.17
Trapped in the Tower,ELD,Common,0.17
Wicked Guardian,ELD,Common,0.17
Wildwood Tracker,ELD,Common,0.17
Brimstone Trebuchet,ELD,Common,0.17
Beloved Princess,ELD,Common,0.17
Crystal Slipper,ELD,Common,0.17
Tempting Witch,ELD,Common,0.17
Golden Egg,ELD,Common,0.17
Wolf's Quarry,ELD,Common,0.17
Outflank,ELD,Common,0.17
Signpost Scarecrow,ELD,Common,0.17
Smitten Swordmaster,ELD,Common,0.16
Foreboding Fruit,ELD,Common,0.16
Garenbrig Squire,ELD,Common,0.16
Vantress Paladin,ELD,Common,0.16
Fell the Pheasant,ELD,Common,0.16
Moonlit Scavengers,ELD,Common,0.16
Barge In,ELD,Common,0.16
Silverflame Ritual,ELD,Common,0.16
Bake into a Pie,ELD,Common,0.16
Tall as a Beanstalk,ELD,Common,0.16
Raging Redcap,ELD,Common,0.16
Ogre Errant,ELD,Common,0.16
Lost Legion,ELD,Common,0.16
Garenbrig Paladin,ELD,Common,0.16
Curious Pair,ELD,Common,0.16
True Love's Kiss,ELD,Common,0.16
Forever Young,ELD,Common,0.16
Eye Collector,ELD,Common,0.16
Tome Raider,ELD,Common,0.16
Run Away Together,ELD,Common,0.16
Mantle of Tides,ELD,Common,0.16
Rimrock Knight,ELD,Common,0.16
Fling,ELD,Common,0.16
Weapon Rack,ELD,Common,0.16
Steelgaze Griffin,ELD,Common,0.16
Swamp (261),ELD,Common,0.15
Rosethorn Acolyte,ELD,Common,0.15
Rosethorn Halberd,ELD,Common,0.15
Locthwain Paladin,ELD,Common,0.15
Festive Funeral,ELD,Common,0.15
Ardenvale Paladin,ELD,Common,0.15
Ardenvale Tactician,ELD,Common,0.15
Roving Keep,ELD,Common,0.15
Queen of Ice,ELD,Common,0.15
Redcap Raiders,ELD,Common,0.15
Mistford River Turtle,ELD,Common,0.15
Bartered Cow,ELD,Common,0.15
Fortifying Provisions,ELD,Common,0.15
Giant's Skewer,ELD,Common,0.15
Searing Barrage,ELD,Common,0.15
Blow Your House Down,ELD,Common,0.15
Outmuscle,ELD,Common,0.15
Jousting Dummy,ELD,Common,0.15
Insatiable Appetite,ELD,Common,0.15
Maraleaf Rider,ELD,Common,0.15
Reave Soul,ELD,Common,0.15
Bloodhaze Wolverine,ELD,Common,0.15
Fierce Witchstalker,ELD,Common,0.15
Lonesome Unicorn,ELD,Common,0.15
Reaper of Night,ELD,Common,0.15
Flutterfox,ELD,Common,0.15
Prized Griffin,ELD,Common,0.15
Charmed Sleep,ELD,Common,0.15
Barrow Witches,ELD,Common,0.15
Lash of Thorns,ELD,Common,0.15
Malevolent Noble,ELD,Common,0.15
Memory Theft,ELD,Common,0.15
Sporecap Spider,ELD,Common,0.15
Prophet of the Peak,ELD,Common,0.15
Scalding Cauldron,ELD,Common,0.15
Locthwain Gargoyle,ELD,Common,0.15
Garenbrig Carver,ELD,Common,0.15
Silverflame Squire,ELD,Common,0.15
Tuinvale Treefolk,ELD,Common,0.15
Forest (268),ELD,Common,0.14
Mountain (265),ELD,Common,0.14
Swamp (260),ELD,Common,0.14
Island (257),ELD,Common,0.13
Plains (253),ELD,Common,0.13
Swamp (259),ELD,Common,0.13
Island (256),ELD,Common,0.12
Mountain (264),ELD,Common,0.12
Island (255),ELD,Common,0.11
Forest (269),ELD,Common,0.1
Plains (252),ELD,Common,0.1
Forest (267),ELD,Common,0.1
Plains (251),ELD,Common,0.1
Mountain (263),ELD,Common,0.1
