Name,Set,Rarity,Price
Boot Nipper,IKO,Common,0.25
Corpse Churn,IKO,Common,0.25
Prickly Marmoset,IKO,Common,0.25
Dark Bargain,IKO,Common,0.25
Excavation Mole,IKO,Common,0.25
Mutual Destruction,IKO,Common,0.25
Survivors' Bond,IKO,Common,0.25
Scoured Barrens,IKO,Common,0.25
Thornwood Falls,IKO,Common,0.25
Patagia Tiger,IKO,Common,0.25
Pyroceratops,IKO,Common,0.25
Tentative Connection,IKO,Common,0.25
Helica Glider,IKO,Common,0.25
Frost Lynx,IKO,Common,0.25
Spontaneous Flight,IKO,Common,0.25
Garrison Cat,IKO,Common,0.25
Tranquil Cove,IKO,Common,0.25
Nightsquad Commando,IKO,Common,0.25
Wind-Scarred Crag,IKO,Common,0.25
Frenzied Raptor,IKO,Common,0.25
Almighty Brushwagg,IKO,Common,0.25
Spelleater Wolverine,IKO,Common,0.25
Blitz Leech,IKO,Common,0.25
Serrated Scorpion,IKO,Common,0.25
Aegis Turtle,IKO,Common,0.25
Flycatcher Giraffid,IKO,Common,0.25
Blisterspit Gremlin,IKO,Common,0.25
Suffocating Fumes,IKO,Common,0.25
Humble Naturalist,IKO,Common,0.25
Blazing Volley,IKO,Common,0.25
Anticipate,IKO,Common,0.25
Frostveil Ambush,IKO,Common,0.25
Essence Scatter,IKO,Common,0.25
Unexpected Fangs,IKO,Common,0.25
Shredded Sails,IKO,Common,0.25
Blood Curdle,IKO,Common,0.25
Adventurous Impulse,IKO,Common,0.25
Lava Serpent,IKO,Common,0.25
Savai Sabertooth,IKO,Common,0.25
Wingfold Pteron,IKO,Common,0.25
Unlikely Aid,IKO,Common,0.25
Dead Weight,IKO,Common,0.25
Raking Claws,IKO,Common,0.25
Ram Through,IKO,Common,0.25
Phase Dolphin,IKO,Common,0.25
Cavern Whisperer,IKO,Common,0.25
Plummet,IKO,Common,0.25
Dreamtail Heron,IKO,Common,0.25
Adaptive Shimmerer,IKO,Common,0.25
Durable Coilbug,IKO,Common,0.25
Gust of Wind,IKO,Common,0.25
Convolute,IKO,Common,0.25
Blade Banish,IKO,Common,0.25
Honey Mammoth,IKO,Common,0.25
Coordinated Charge,IKO,Common,0.25
Sleeper Dart,IKO,Common,0.25
Daysquad Marshal,IKO,Common,0.25
Vulpikeet,IKO,Common,0.25
Greater Sandwurm,IKO,Common,0.25
Hampering Snare,IKO,Common,0.25
Springjaw Trap,IKO,Common,0.25
Divine Arrow,IKO,Common,0.25
Imposing Vantasaur,IKO,Common,0.25
Drannith Healer,IKO,Common,0.25
Bloodfell Caves,IKO,Common,0.25
Sudden Spinnerets,IKO,Common,0.25
Maned Serval,IKO,Common,0.25
Blossoming Sands,IKO,Common,0.25
Perimeter Sergeant,IKO,Common,0.25
Crystacean,IKO,Common,0.25
Snare Tactician,IKO,Common,0.25
Swiftwater Cliffs,IKO,Common,0.25
Solid Footing,IKO,Common,0.25
Startling Development,IKO,Common,0.25
Gloom Pangolin,IKO,Common,0.25
Bristling Boar,IKO,Common,0.25
Cloudpiercer,IKO,Common,0.25
Pacifism,IKO,Common,0.25
Fully Grown,IKO,Common,0.25
Thwart the Enemy,IKO,Common,0.25
Go for Blood,IKO,Common,0.25
Forbidden Friendship,IKO,Common,0.25
Capture Sphere,IKO,Common,0.25
Cathartic Reunion,IKO,Common,0.25
Wilt,IKO,Common,0.25
Mosscoat Goriak,IKO,Common,0.25
Light of Hope,IKO,Common,0.25
Checkpoint Officer,IKO,Common,0.25
Essence Symbiote,IKO,Common,0.25
Migratory Greathorn,IKO,Common,0.25
Dismal Backwater,IKO,Common,0.25
Evolving Wilds,IKO,Common,0.25
Lurking Deadeye,IKO,Common,0.25
Jungle Hollow,IKO,Common,0.25
Rumbling Rockslide,IKO,Common,0.25
Facet Reader,IKO,Common,0.25
Rugged Highlands,IKO,Common,0.25
