Name,Set,Rarity,Price
Rumbling Sentry,THB,Common,0.15
Elite Instructor,THB,Common,0.15
Starlit Mantle,THB,Common,0.15
Grim Physician,THB,Common,0.15
Mogis's Favor,THB,Common,0.15
Flummoxed Cyclops,THB,Common,0.15
Hyrax Tower Scout,THB,Common,0.15
Inspire Awe,THB,Common,0.15
Nyxborn Colossus,THB,Common,0.15
Daybreak Chimera,THB,Common,0.15
Dreadful Apathy,THB,Common,0.15
Glory Bearers,THB,Common,0.15
Incendiary Oracle,THB,Common,0.15
Iroas's Blessing,THB,Common,0.15
Leonin of the Lost Pride,THB,Common,0.15
Temple Thief,THB,Common,0.15
Skophos Warleader,THB,Common,0.15
Triton Waverider,THB,Common,0.15
Hero of the Games,THB,Common,0.15
Indomitable Will,THB,Common,0.15
Witness of Tomorrows,THB,Common,0.15
Underworld Charger,THB,Common,0.15
Venomous Hierophant,THB,Common,0.15
Wings of Hubris,THB,Common,0.15
Ichthyomorphosis,THB,Common,0.1
Arena Trickster,THB,Common,0.1
